鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
龜山鄉,房地(土地+建物)+車位,牛角坡段樟腦寮小段51~100地號,23.35,住,,,10208,土地7建物1車位1,十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,190.15,4,2,2,有,無,8350000,44504,坡道平面,26.12,1050000
龜山鄉,房地(土地+建物)+車位,牛角坡段樟腦寮小段51~100地號,17.49,住,,,10208,土地7建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.43,2,2,2,有,無,6040000,42374,坡道平面,23.77,800000
龜山鄉,房地(土地+建物)+車位,牛角坡段樟腦寮小段51~100地號,17.49,住,,,10209,土地7建物1車位1,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.78,2,2,2,有,無,6210000,42940,坡道平面,26.12,900000
龜山鄉,房地(土地+建物)+車位,牛角坡段樟腦寮小段51~100地號,23.47,住,,,10207,土地7建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,191.27,4,2,2,有,無,8150000,43899,坡道平面,26.12,900000
龜山鄉,房地(土地+建物)+車位,牛角坡段樟腦寮小段51~100地號,17.49,住,,,10208,土地7建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.43,0,0,0,無,無,6310000,42940,坡道平面,23.77,1000000
龜山鄉,房地(土地+建物)+車位,牛角坡段樟腦寮小段51~100地號,23.47,住,,,10207,土地7建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,191.27,4,2,2,有,無,8250000,44505,坡道平面,26.12,900000
龜山鄉,房地(土地+建物)+車位,牛角坡段樟腦寮小段51~100地號,23.47,住,,,10207,土地7建物1車位1,二十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,188.92,4,2,2,有,無,8300000,45413,坡道平面,23.77,800000
龜山鄉,房地(土地+建物)+車位,牛角坡段樟腦寮小段51~100地號,23.35,住,,,10208,土地7建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,191.2,4,2,2,有,無,8140000,43858,坡道平面,26.12,900000
龜山鄉,房地(土地+建物)+車位,牛角坡段樟腦寮小段51~100地號,23.35,住,,,10208,土地7建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,191.2,4,2,2,有,無,8140000,43858,坡道平面,26.12,900000
龜山鄉,房地(土地+建物)+車位,牛角坡段樟腦寮小段51~100地號,22.65,住,,,10208,土地7建物1車位2,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.84,4,2,2,有,無,8560000,42356,坡道平面,52.24,1800000
